CNPJ,Loja,Segmento,GP,GN,Feirao,Comercial,Gestor,Estoque,Faixa_Estoque,Ultima_Atualizacao,Faixa_Atualizacao,Status_Pgto
10290356000160,CHIOSSI & WEBER LTDA,RevendaCarro,SPINT2 - MARCELO DE SOUSA CAETANO,Vagner Rogerio Spatti,FEIRÃO SETEMBRO - G,Juliana Grande,Juliana Grande,143,Acima 101,31/08/2026,Até 15 dias,PAGA
10310414000170,STOPCAR VEICULOS LTDA,RevendaCarro,NE3 - PAULO AMERICO LEMOS DE SEIXAS FILHO,ELISIA NATALY LIMA MARTINS BARROS,FEIRÃO SETEMBRO - P,Fernanda Souza,Fernanda Souza,4,Até 5,18/05/2026,Acima de 90 dias,PAGA
10361878000106,Jp Veiculos,RevendaCarro,CO2 - THEONILO GONCALINO DE ALMEIDA,Helaine Cristina de Almeida Barbosa,FEIRÃO SETEMBRO - P,Tatiane Silva,Renan Winterink,0,Sem Estoque,,Nunca atualizou,PAGA
10380132000140,N. G. DOS SANTOS DE AGUIAR - VEICULOS,RevendaCarro,SPINT3 - FABIO YOSHIKAZU TANIGUTI,Wellington Antônio da Silva,FEIRÃO SETEMBRO - P,Andre Souza,Luana Mota,5,Até 5,10/02/2025,Acima de 90 dias,AGUARDANDO_PAGAMENTO
10425035000126,Lindoya Veículos,RevendaCarro,SPINT1 - CHRISTIANE LOPES,Brian laurentino,FEIRÃO SETEMBRO - G,Juliana Grande,Juliana Grande,0,Sem Estoque,10/11/2021,Acima de 90 dias,PAGA
10438616000100,Tico Multimarcas,RevendaCarro,SP7 - FLAVIA DE FATIMA CORREA,47088132877,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
10461582000167,HR AUTOMOVEIS,RevendaCarro,MG1 - DOUGLAS HENRIQUE FERREIRA,Jean Edson de Simas Granito,FEIRÃO SETEMBRO - P,Ludmila Martins,Renan Winterink,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO
10466101000106,Itália Motos,RevendaMoto,SPINT5 - EDILSON BERNAL MOLEIRO,daiane fernandes fidencio,FEIRÃO SETEMBRO - P,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
10466511000157,Andrea de Aro Jorge Jorge Manzini,RevendaCarro,SPINT4 - VINICIUS THIAGO PINHEIRO DOS SANTOS,Rafael Maimone Lecciolli,FEIRÃO SETEMBRO - M,Juliana Grande,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA
10471626000130,BN AUTOMOVEIS LTDA,RevendaCarro,SC2 - FABIANO HEIL DIAS,Matheus Cuty,FEIRÃO SETEMBRO - P,Gabriel Pereira,Renan Winterink,0,Sem Estoque,14/12/2023,Acima de 90 dias,PAGA
