CNPJ,Loja,Segmento,GN,Feirao,Comercial,Estoque,Faixa_Estoque,Ultima_Atualizacao,Faixa_Atualizacao,Status_Pgto,Tem_Credencial,Contato_Wpp,Contato_Email
10290356000160,CHIOSSI & WEBER LTDA,RevendaCarro,Vagner Rogerio Spatti,FEIRÃO SETEMBRO - G,Juliana Grande,143,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
10310414000170,STOPCAR VEICULOS LTDA,RevendaCarro,ELISIA NATALY LIMA MARTINS BARROS,FEIRÃO SETEMBRO - P,Fernanda Souza,4,Até 5,18/05/2026,Acima de 90 dias,PAGA,Sim,Não,Não
10361878000106,Jp Veiculos,RevendaCarro,Helaine Cristina de Almeida Barbosa,FEIRÃO SETEMBRO - P,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Sim,Sim
10380132000140,N. G. DOS SANTOS DE AGUIAR - VEICULOS,RevendaCarro,Wellington Antônio da Silva,FEIRÃO SETEMBRO - P,Andre Souza,5,Até 5,10/02/2025,Acima de 90 dias,AGUARDANDO_PAGAMENTO,Não,Não,Não
10425035000126,Lindoya Veículos,RevendaCarro,Brian laurentino,FEIRÃO SETEMBRO - G,Juliana Grande,0,Sem Estoque,10/11/2021,Acima de 90 dias,PAGA,Sim,Não,Não
10438616000100,Tico Multimarcas,RevendaCarro,47088132877,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
10461582000167,HR AUTOMOVEIS,RevendaCarro,Jean Edson de Simas Granito,FEIRÃO SETEMBRO - P,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Não,Não,Não
10466101000106,Itália Motos,RevendaMoto,daiane fernandes fidencio,FEIRÃO SETEMBRO - P,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
10466511000157,Andrea de Aro Jorge Jorge Manzini,RevendaCarro,Rafael Maimone Lecciolli,FEIRÃO SETEMBRO - M,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Sim,Sim
10471626000130,BN AUTOMOVEIS LTDA,RevendaCarro,Matheus Cuty,FEIRÃO SETEMBRO - P,Gabriel Pereira,0,Sem Estoque,14/12/2023,Acima de 90 dias,PAGA,Não,Sim,Sim
10578544000199,J.P. MULTIMARCAS SAO SIMAO COMERCIO DE VEICULOS LTDA,RevendaCarro,AYRES RODRIGO VALENTE LUCARINI,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,08/11/2022,Acima de 90 dias,PAGA,Não,Sim,Sim
10590122000139,Orlando Martins Veiculos Ltda,RevendaCarro,Rodolfo Santos de Assunção Tirolli,FEIRÃO SETEMBRO - P,Juliana Grande,0,Sem Estoque,22/02/2024,Acima de 90 dias,PENDENTE_ACEITE,Não,Sim,Sim
10594154000102,DOURADOS AUTOMOVEIS EIRELI,RevendaCarro,Zamara Rodrigues Fraga,FEIRÃO SETEMBRO - P,Tatiane Silva,13,Até 20,24/11/2022,Acima de 90 dias,PAGA,Sim,Não,Não
10596363000195,Tareco Automoveis,Revenda Multimarcas,Diego de Moraes Subtil,Feirão Pontual - 2 Feirões,Gabriel Pereira,0,Sem Estoque,06/11/2025,Acima de 90 dias,PAGA,Sim,Não,Não
10632554000165,gil veiculos,Revenda Multimarcas,guilherme grochau de oliveira,Feirão Pontual - Feirão Setembro,Lucynara Ochiai,33,Até 50,27/08/2026,Até 15 dias,PAGA,Sim,Não,Não
10635988000119,VARGAS VEICULOS,Revenda Multimarcas,Neide Tomaz da Costa,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
10648710000186,Seven,Revenda Multimarcas,Marcos Luís Freitas de Santana,Feirão Pontual - 3 Feirões,Fernanda Souza,21,Até 30,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
10671286000190,Novo Ciclo Automoveis,RevendaCarro,Julio cesar oliveira  farias,FEIRÃO SETEMBRO - M,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
1068498000197,zanette multimarcas,Revenda Multimarcas,TauanTeixeira@hotmail.com,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
10745524000165,Garagem7,Revenda Multimarcas,Plinio Viani Rangel de Farias,Feirão Pontual - Feirão Setembro,Luana Marques,0,Sem Estoque,20/07/2023,Acima de 90 dias,EM PROCESSAMENTO,Sim,Não,Não
10802508000167,Mooving motors comércio de veículos Vr ltda,Revenda Multimarcas,Carolina jardim Rocha Araújo,Feirão Pontual - 2 Feirões,Ludmila Martins,26,Até 30,17/08/2026,Até 15 dias,PAGA,Sim,Não,Não
10820998000124,PAI E FILHO AUTOMÓVEIS,RevendaCarro,JAILSON MORAES,FEIRÃO SETEMBRO - M,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
10896690000162,LEANCAR COMÉRCIO DE AUTOMÓVEIS,Revenda Multimarcas,CLICIA SOUZA DOS SANTOS,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
10906757000100,ZUPT CAR MULTIMARCAS EIRELI,RevendaCarro,Viviani dos Santos Freitas,2 FEIROES - G,Luana Marques,115,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Não,Não
11046006000116,UNICAR VEICULOS LTDA,RevendaCarro,Juliana Nogueira Lemos Gomes,FEIRÃO SETEMBRO - P,Ludmila Martins,0,Sem Estoque,30/11/2022,Acima de 90 dias,PAGA,Sim,Sim,Sim
11072096000110,CIA CAR VEICULOS LTDA,RevendaCarro,Henry Christian Pacheco,FEIRÃO SETEMBRO - P,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
11118066000105,VACCARI VEICULOS LTDA,Revenda Multimarcas,MARCOS RODRIGUES DE MORAIS AZAMBUJA,Feirão Pontual - 3 Feirões,,1,Até 5,15/05/2026,Acima de 90 dias,PAGA,Sim,Sim,Sim
11240523000121,attractive Multimarcas,Revenda Multimarcas,FRANCISCO ESIO DANTAS FRANCO,Feirão Pontual - Feirão Setembro,Luana Marques,0,Sem Estoque,18/01/2025,Acima de 90 dias,EM PROCESSAMENTO,Sim,Não,Não
11406563000109,A K DE MEDEIROS PEREIRA,RevendaCarro,Claudia de Lima Campelo,FEIRÃO SETEMBRO - P,Ruana Figueroa,0,Sem Estoque,05/03/2024,Acima de 90 dias,PAGA,Não,Não,Não
11447979000167,T BARBOSA  ALVES EIRELI,Revenda Multimarcas,VANESSA CARVALHO SOARES,Feirão Pontual - 3 Feirões,Fernanda Souza,10,Até 10,17/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
11483268000148,Tech Motors Car Service Ltda.,Revenda Multimarcas,Cassia Leite de Oliveira,Feirão Pontual - Feirão Setembro,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
11771648000188,PISCAR VEICULOS LTDA,Revenda Multimarcas,WESLEY PAULO GONCALVES,Feirão Pontual - 3 Feirões,Ludmila Martins,112,Acima 101,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
11938018000155,DANIELA NASCIMENTO PESSOA 06008956613,Revenda Multimarcas,Marcella Guimaraes Souza,Feirão Pontual - Feirão Setembro,Ludmila Martins,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
12002394000104,NORTE COMERCIO DE AUTOMOVEIS LTDA,Revenda Multimarcas,Karen Sabrina Neves da Silva,Feirão Pontual - 3 Feirões,Ludmila Martins,41,Até 50,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
12021913000173,PAZIN E HYPOLITO COMERCIO DE VEICULOS LTDA,RevendaCarro,Douglas de Barros Sobral,FEIRÃO SETEMBRO - P,Juliana Grande,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
12040246000176,Uniao Veiculos,RevendaCarro,Geisinea Rocha Mascarenhas,FEIRÃO SETEMBRO - P,Fernanda Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
1228564000149,São Lucas Automóveis Ltda,RevendaCarro,CARLOS EDUARDO LOCIO ROSADO,FEIRÃO SETEMBRO - P,Ruana Figueroa,0,Sem Estoque,20/01/2026,Acima de 90 dias,AGUARDANDO_PAGAMENTO,Não,Não,Não
12405082000133,Samuel Automoveis,RevendaCarro,jose alex bezerra,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,17/03/2017,Acima de 90 dias,PAGA,Sim,Não,Não
12466008000127,J & P COMERCIO VAREJISTA DE VEICULOS AUTOMOTORES LTDA,RevendaCarro,Felipe Caldas Cavalcante,FEIRÃO SETEMBRO - P,Ruana Figueroa,25,Até 30,31/08/2026,Até 15 dias,PENDENTE_ACEITE,Não,Não,Não
12512439000182,RONALDO VEICULOS,RevendaCarro,Carlos Eduardo,FEIRÃO SETEMBRO - M,Lucynara Ochiai,0,Sem Estoque,,Nunca atualizou,PAGA,Não,Não,Não
12550975000172,JV multimarcas,RevendaCarro,ELTON APARECIDO DE SOUZA,FEIRÃO SETEMBRO - P,Tatiane Silva,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
12598986000122,AUTOVEL MULTIMARCAS LTDA,Revenda Multimarcas,VITOR DA CUNHA MALLMANN,Feirão Pontual - 3 Feirões,Gabriel Pereira,31,Até 50,28/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
12605410000145,LS CAR,Revenda Multimarcas,SIDNEI MIRANDA DE SOUSA,Feirão Pontual - 3 Feirões,Fernanda Souza,17,Até 20,23/07/2026,31 a 60 dias,PAGA,Sim,Sim,Sim
12638221000179,AUTENTICAR COMERCIO E LOCADORA DE VEICULOS LTDA,RevendaCarro,Aline Ticiane Saraiva Queiroz,FEIRÃO SETEMBRO - P,Ruana Figueroa,0,Sem Estoque,30/10/2021,Acima de 90 dias,PAGA,Não,Sim,Sim
12670684000118,Zafani Premium,RevendaCarro,Adriana Mara da silva,FEIRÃO SETEMBRO - G,Andre Souza,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Sim,Sim
12730728000158,MR2 MULTIMARCAS,Revenda Multimarcas,JEFFERSON SOARES DA SILVA MONTEIRO,Feirão Pontual - Feirão Setembro,Gabriel Pereira,64,Até 100,29/08/2026,Até 15 dias,PAGA,Sim,Não,Não
12960635000110,MURILO RIBEIRO DE BARROS,Revenda Multimarcas,VERIDIANA FURLANI HUMMEL DOS SANTOS,Feirão Pontual - 3 Feirões,Juliana Grande,49,Até 50,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
13033879000110,CARVALHO & MARINHO LTDA,Revenda Multimarcas,KRYSLAISA FONSECA FERRO,Feirão Pontual - 3 Feirões,Fernanda Souza,33,Até 50,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
1306870000156,RIAL LITORAL COMERCIO DE VEICULOS USADOS LIMITADA,Revenda Multimarcas,SIDNEI MIRANDA DE SOUSA,Feirão Pontual - 3 Feirões,Fernanda Souza,45,Até 50,29/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
13069981000175,GAROPACAR,Revenda Multimarcas,Diego de Moraes Subtil,Feirão Pontual - Feirão Setembro,Gabriel Pereira,0,Sem Estoque,,Nunca atualizou,PAGA,Sim,Não,Não
13165174000156,Anis Car comércio de veículos Ltda,Revenda Multimarcas,Alvaro de Moura Lima Junior,Feirão Pontual - Feirão Setembro,Luana Marques,29,Até 30,31/08/2026,Até 15 dias,PAGA,Sim,Sim,Sim
13181780000165,PAULO ROBERTO RAIMUNDO JUNIOR,RevendaCarro,Matheus William do Prado,FEIRÃO SETEMBRO - G,Juliana Grande,0,Sem Estoque,07/07/2026,31 a 60 dias,PENDENTE_ACEITE,Não,Sim,Sim
1322481000114,W-STOEBERL COMERCIO DE VEICULOS LTDA,RevendaCarro,Marlon José Zaranski,FEIRÃO SETEMBRO - M,Gabriel Pereira,30,Até 30,27/08/2026,Até 15 dias,PAGA,Sim,Não,Não
13331221000194,VAGNER LUIZ FRANCO VEICULOS LTDA,RevendaCarro,EDUARDO MACIEL,FEIRÃO SETEMBRO - M,Andre Souza,0,Sem Estoque,,Nunca atualizou,AGUARDANDO_PAGAMENTO,Não,Não,Não
13371614000121,IMPECAR VEICULOS MULTIMARCAS LTDA,RevendaCarro,Adriana Alles,FEIRÃO SETEMBRO - P,Bruna de Paula,0,Sem Estoque,,Nunca atualizou,PENDENTE_ACEITE,Não,Não,Não
